,0
0,497214.3370230588
1,278734.4450758227
2,953903.9075043217
3,644502.5182349869
4,139521.6238872757
5,660981.7838694035
6,744239.1239869241
7,1047072.2358311788
8,345375.52522225457
9,124766.43496667442
10,490303.1139893008
11,137933.8285723924
12,158475.24256938795
13,1004518.290551958
14,298397.3621640211
15,470453.6000902868
16,440318.40711523127
17,588144.9426765057
18,494164.8514707446
19,923953.0542350017
20,1858141.0730345533
21,699812.9078409773
22,205594.79559415323
23,365707.93603057286
24,542739.8746281313
25,113462.47574730287
26,269656.4270321586
27,715812.168284365
28,561697.9469524279
29,542486.7921435521
30,301456.620207199
31,629376.2427426429
32,499655.81449907285
33,796560.6841454922
34,166035.79174097942
35,322773.5468373463
36,11031.518798301491
37,411116.7328340227
38,402158.4641358551
39,475244.551758414
40,389755.16060958174
41,121445.1867496937
42,1825978.726020208
43,403296.9973500555
44,685701.238110093
45,503630.1317321762
46,513287.20867470023
47,233842.38097691425
48,595264.383127703
49,593948.016749369
50,805905.1461729497
51,207082.41379587573
52,384726.4001138655
53,1312729.1756742494
54,618806.3509972512
55,559162.4068967424
56,626986.6261236169
57,391009.7015872119
58,280542.09021268977
59,422192.87672879593
60,13729.665371933253
61,984492.209935244
62,263780.2045508063
63,460545.05527500017
64,349190.55244409444
65,448210.3480863542
66,601252.3047692911
67,197973.26654360944
68,464519.60668281897
69,929551.1696480095
70,71708.01417157333
71,877268.5656252614
72,475213.04441317497
73,1151303.0935312686
74,627481.8564452243
75,229372.68346330192
76,881700.9082022464
77,386473.6760909781
78,1637475.9083268526
79,356415.7483490078
80,386714.0456889656
81,1098544.865338047
82,364613.05677306873
83,847324.4005438605
84,928518.3504444683
85,1738770.2751321802
86,604010.1947729263
87,758070.6672522444
88,464660.669188989
89,650174.7712251337
90,1299488.3130521737
91,737574.015697364
92,121973.61895895313
93,722241.2729664758
94,402236.13080952654
95,349152.2260550627
96,319215.9941218053
97,99030.75121872307
98,434040.5903705468
99,1053392.3833059883
100,725935.3023385127
101,342013.23084386846
102,287569.2285324255
103,415202.2858036567
104,561055.977460487
105,792693.1766611523
106,483810.5715990423
107,1368666.1006413456
108,-54546.0399298596
109,325540.28340931947
110,465422.9970589577
111,403354.84590045584
112,466513.8846429421
113,319782.4439438415
114,694958.216839079
115,24252.652007485012
116,1947189.7846891736
117,505982.56565503974
118,405651.4581686016
119,659604.950654121
120,388691.46339790244
121,426445.88430763176
122,1058786.9961844655
123,197027.48112764192
124,395011.0691963227
125,1061816.6486218562
126,943980.0048429159
127,459978.740224637
128,2065127.8056391096
129,707708.7977440417
130,819384.2117077276
131,625850.6458162317
132,222802.07050413365
133,272270.9444111877
134,994874.5389738368
135,520651.67297571583
136,530341.0111397238
137,417593.046272642
138,932368.4330608143
139,201275.18980368652
140,385378.31637612963
141,916703.8009530458
142,633594.3016574832
143,93863.82591982128
144,378910.3571588448
145,2258325.2851623334
146,562289.8245688052
147,-78085.3392899383
148,657061.8940532996
149,115283.8481720931
150,1204374.9248106084
151,528604.0427525511
152,701404.4817125414
153,1664298.9469886664
154,213237.14716980082
155,469772.5508650568
156,611716.2461656748
157,558796.3925312675
158,132052.8504054505
159,420064.22451717244
160,1333777.502319824
161,554404.6535229302
162,634441.7819881254
163,288719.8458520244
164,1282872.553956828
165,245950.5221826167
166,111311.02820334089
167,644130.3516045278
168,196558.74358990783
169,480179.5778479349
170,61317.339155035384
171,980235.8857445571
172,388116.1521770238
173,455767.55328873487
174,146895.77260867198
175,931523.3927638646
176,696470.0212042361
177,109275.16622376652
178,163585.23816426494
179,284244.88123131555
180,-40198.16536463823
181,1230342.8815061408
182,540996.0936892683
183,388410.8645763707
184,297517.2563038436
185,734403.013080695
186,569171.4367880961
187,609535.7990530246
188,421757.2928175939
189,578040.0309838331
190,166461.58599307342
191,206052.31905910763
192,94971.44880125707
193,321131.0601712869
194,381741.18478402635
195,419527.5185815396
196,276855.87933800695
197,558864.867923821
198,809458.6512778543
199,900105.1113072479
200,828160.9596712795
201,1271387.4662338775
202,635170.4192968241
203,695600.1428446834
204,194938.32628624886
205,464410.42654370575
206,336095.45125665166
207,564573.7765311456
208,234616.61641924415
209,203018.7459814842
210,989735.1751819077
211,589562.8831360666
212,1286516.661956146
213,251530.04415398586
214,136177.77082082065
215,690884.9345786489
216,366160.8003672428
217,375790.1366104684
218,165045.46644160902
219,146118.56686177518
220,978579.101511371
221,569125.5378598393
222,786917.7486675408
223,532152.3253174764
224,258270.74037647777
225,288219.459080558
226,114547.48146578105
227,216824.52282582293
228,126948.64018545562
229,226707.71712532442
230,666297.6546991551
231,1069039.2166974368
232,825333.2436966399
233,131894.17176381388
234,1174873.8848243053
235,491363.2880880163
236,585610.4956422867
237,875792.9548707859
238,931675.9805905797
239,530331.5711300307
240,478364.8768457181
241,435812.66516090883
242,690032.1432518719
243,564858.1604318849
244,865413.5463168194
245,262404.3876348704
246,531292.4466138412
247,392736.2714564012
248,876698.2176790185
249,976116.2289858985
